quarter,trend
2005Q1,100.0
2005Q2,55.714285714285715
2005Q3,27.142857142857142
2005Q4,0.0
2006Q1,0.0
2006Q2,15.0
2006Q3,0.0
2006Q4,0.0
2007Q1,7.857142857142857
2007Q2,0.0
2007Q3,4.285714285714286
2007Q4,0.0
2008Q1,0.0
2008Q2,0.0
2008Q3,2.142857142857143
2008Q4,0.0
2009Q1,0.0
2009Q2,3.5714285714285716
2009Q3,1.4285714285714286
2009Q4,1.4285714285714286
2010Q1,5.714285714285714
2010Q2,2.142857142857143
2010Q3,0.0
2010Q4,0.0
2011Q1,1.4285714285714286
2011Q2,0.7142857142857143
2011Q3,0.7142857142857143
2011Q4,0.0
2012Q1,0.0
2012Q2,0.7142857142857143
2012Q3,0.7142857142857143
2012Q4,0.0
2013Q1,0.0
2013Q2,0.0
2013Q3,0.0
2013Q4,0.0
2014Q1,0.0
2014Q2,0.0
2014Q3,0.7142857142857143
2014Q4,0.0
2015Q1,0.0
2015Q2,0.7142857142857143
2015Q3,0.7142857142857143
2015Q4,0.0
2016Q1,0.0
2016Q2,0.0
2016Q3,0.0
2016Q4,0.0
2017Q1,0.0
2017Q2,0.0
2017Q3,0.0
2017Q4,0.0
2018Q1,0.0
2018Q2,0.0
2018Q3,0.0
2018Q4,0.0
2019Q1,0.0
2019Q2,0.0
2019Q3,0.0
2019Q4,0.0
2020Q1,0.0
2020Q2,0.0
2020Q3,0.0
2020Q4,0.0
2021Q1,0.0
2021Q2,0.0
2021Q3,0.0
2021Q4,0.0
2022Q1,0.0
2022Q2,0.7142857142857143
2022Q3,0.0
