quarter,trend
2005Q1,100.0
2005Q2,0.0
2005Q3,78.0
2005Q4,0.0
2006Q1,76.0
2006Q2,33.0
2006Q3,0.0
2006Q4,0.0
2007Q1,0.0
2007Q2,0.0
2007Q3,32.0
2007Q4,0.0
2008Q1,0.0
2008Q2,0.0
2008Q3,0.0
2008Q4,0.0
2009Q1,0.0
2009Q2,3.0
2009Q3,0.0
2009Q4,6.0
2010Q1,0.0
2010Q2,6.0
2010Q3,0.0
2010Q4,7.0
2011Q1,0.0
2011Q2,4.0
2011Q3,1.0
2011Q4,1.0
2012Q1,0.0
2012Q2,1.0
2012Q3,0.0
2012Q4,2.0
2013Q1,1.0
2013Q2,1.0
2013Q3,2.0
2013Q4,0.0
2014Q1,0.0
2014Q2,0.0
2014Q3,2.0
2014Q4,0.0
2015Q1,1.0
2015Q2,2.0
2015Q3,0.0
2015Q4,2.0
2016Q1,1.0
2016Q2,0.0
2016Q3,0.0
2016Q4,1.0
2017Q1,1.0
2017Q2,0.0
2017Q3,0.0
2017Q4,0.0
2018Q1,0.0
2018Q2,0.0
2018Q3,0.0
2018Q4,0.0
2019Q1,0.0
2019Q2,0.0
2019Q3,2.0
2019Q4,3.0
2020Q1,1.0
2020Q2,3.0
2020Q3,4.0
2020Q4,1.0
2021Q1,1.0
2021Q2,2.0
2021Q3,2.0
2021Q4,1.0
2022Q1,1.0
2022Q2,2.0
2022Q3,2.0
