,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2016Q1,,0.0,,,,
1,2016Q2,,0.0,,,,
2,2016Q3,,0.0,,,,
3,2016Q4,2861550.0,19071.0,150047192.07173195,,,0.6720198193679693
4,2017Q1,3001052.0,20001.0,150045097.74511275,-2094.326619207859,-0.0013957980971598088,0.6592436588558729
5,2017Q2,3088423.0,20584.0,150039982.51068792,-5115.234424829483,-0.0034092475480428062,0.6659387840229913
6,2017Q3,3233787.0,21553.0,150038834.50099754,-1148.009690374136,-0.0007651417009417674,0.6811912637614917
7,2017Q4,3418651.0,22787.0,150026374.68732172,-12459.813675820827,-0.008305082157579968,0.6846787383348804
8,2018Q1,3458976.0,23056.0,150024982.65093684,-1392.0363848805428,-0.0009278697189516723,0.6873344064715868
9,2018Q2,3733891.0,24888.0,150027764.3844423,2781.7335054576397,0.0018541458088580983,0.6793990075092372
10,2018Q3,3985929.0,26569.0,150021792.31435132,-5972.070090979338,-0.003980801721436333,0.6943434666213559
11,2018Q4,4221290.0,28138.0,150020968.08586255,-824.2284887731075,-0.0005494088588345671,0.6918057351084128
12,2019Q1,4283840.0,28555.0,150020661.88058135,-306.20528119802475,-0.0002041087389960782,0.704920341981183
13,2019Q2,2081734.0,13878.0,150002449.92073786,-18211.959843486547,-0.012141108263971589,0.66094775409269
14,2019Q3,2187624.0,14584.0,150001645.6390565,-804.2816813588142,-0.0005361819051599794,0.6466725531375938
15,2019Q4,2199693.0,14665.0,149996113.19468123,-5532.444375276566,-0.0036883918239241035,0.6456343977305792
16,2020Q1,2237700.0,14918.0,150000000.0,3886.805318772793,0.0025912035458485285,0.6587305507959403
17,2020Q2,2345374.0,15636.0,149998337.1706319,-1662.8293681144714,-0.0011085652011081333,0.6529807588766156
18,2020Q3,2505260.0,16702.0,149997605.07723626,-732.0933956205845,-0.0004880700563476446,0.6511814739288788
19,2020Q4,3634089.0,19382.0,187498142.60654214,37500537.529305875,20.000484809067874,0.5592679174840626
20,2021Q1,3488397.0,18605.0,187497823.16581565,-319.44072648882866,-0.00017037036542356438,0.5928419061102197
21,2021Q2,3744571.0,19410.0,192919680.57702217,5421857.411206514,2.810422137850195,0.5746910960239805
22,2021Q3,3907809.0,20256.0,192921060.4265403,1379.8495181202888,0.0007152404797431136,0.5594089612390133
23,2021Q4,3920623.0,20323.0,192915563.64709935,-5496.779440939426,-0.00284931880923547,0.5676963231062682
24,2022Q1,3967741.0,20567.0,192917829.53274664,2265.8856472969055,0.0011745340763914644,0.5621679836991642
25,2022Q2,4171638.0,21624.0,192917036.62597114,-792.9067755043507,-0.0004110092034233574,0.541207729127489
