quarter,trend
2005Q1,0.0
2005Q2,100.0
2005Q3,0.0
2005Q4,0.0
2006Q1,0.0
2006Q2,69.0
2006Q3,0.0
2006Q4,0.0
2007Q1,0.0
2007Q2,15.0
2007Q3,12.0
2007Q4,19.0
2008Q1,24.0
2008Q2,0.0
2008Q3,0.0
2008Q4,0.0
2009Q1,0.0
2009Q2,0.0
2009Q3,8.0
2009Q4,5.0
2010Q1,0.0
2010Q2,7.0
2010Q3,0.0
2010Q4,0.0
2011Q1,0.0
2011Q2,0.0
2011Q3,2.0
2011Q4,1.0
2012Q1,0.0
2012Q2,1.0
2012Q3,0.0
2012Q4,3.0
2013Q1,1.0
2013Q2,0.0
2013Q3,1.0
2013Q4,0.0
2014Q1,0.0
2014Q2,0.0
2014Q3,0.0
2014Q4,0.0
2015Q1,2.0
2015Q2,0.0
2015Q3,0.0
2015Q4,0.0
2016Q1,0.0
2016Q2,0.0
2016Q3,0.0
2016Q4,0.0
2017Q1,0.0
2017Q2,0.0
2017Q3,0.0
2017Q4,1.0
2018Q1,0.0
2018Q2,0.0
2018Q3,0.0
2018Q4,0.0
2019Q1,1.0
2019Q2,1.0
2019Q3,0.0
2019Q4,0.0
2020Q1,0.0
2020Q2,0.0
2020Q3,0.0
2020Q4,0.0
2021Q1,0.0
2021Q2,0.0
2021Q3,0.0
2021Q4,0.0
2022Q1,0.0
2022Q2,0.0
2022Q3,0.0
