,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2004Q4,26216.0,10432.0,2513036.8098159507,,
1,2005Q1,25957.0,10329.0,2513021.589698906,-15.220117044635117,-0.0006056500710946416
2,2005Q2,26296.0,10464.0,2512996.9418960246,-24.647802881430835,-0.0009808130869763166
3,2005Q3,38662.0,10452.0,3699004.975124378,1186008.0332283536,32.06289370260915
4,2006Q1,46615.0,12431.0,3749899.444936047,50894.46981166862,1.3572222551300068
5,2006Q2,50765.0,13537.0,3750092.339513925,192.89457787806168,0.005143728751571597
6,2006Q3,95964.0,15994.0,6000000.0,2249907.660486075,37.49846100810125
7,2006Q4,102161.0,17027.0,5999941.269748047,-58.73025195300579,-0.0009788471138730333
8,2007Q1,105555.0,17593.0,5999829.477633149,-111.79211489763111,-0.0018632548693989144
9,2007Q2,113342.0,15112.0,7500132.345156168,1500302.8675230183,20.00368524819383
10,2007Q3,125963.0,16795.0,7500029.770765109,-102.57439105864614,-0.0013676531186379824
11,2007Q4,208520.0,20858.0,9997123.405887429,2497093.6351223197,24.978121542960555
12,2008Q1,228598.0,20788.0,10996632.672695786,999509.2668083571,9.089230281285106
13,2008Q2,243562.0,22149.0,10996523.545081042,-109.12761474400759,-0.0009923828589702105
14,2008Q3,250368.0,22767.0,10996969.297667677,445.75258663482964,0.004053413031982988
15,2008Q4,256403.0,23316.0,10996869.10276205,-100.19490562565625,-0.0009111221083871098
16,2009Q1,261487.0,23793.0,10990081.116294708,-6787.986467342824,-0.061764662112260955
17,2009Q2,272175.0,24750.0,10996969.696969697,6888.580674989149,0.06264071707760868
18,2009Q3,289905.0,19776.0,14659435.679611651,3662465.982641954,24.98367647081881
19,2009Q4,311116.0,21223.0,14659378.975639636,-56.70397201552987,-0.00038681019236734543
20,2010Q1,317258.0,21642.0,14659366.04750023,-12.928139405325055,-8.819030347857102e-05
21,2010Q2,342900.0,23391.0,14659484.417083494,118.36958326399326,0.0008074607530265576
22,2010Q3,361613.0,24668.0,14659194.097616345,-290.3194671496749,-0.0019804599435441148
23,2010Q4,542682.0,22060.0,24600271.985494107,9941077.887877762,40.41043893229984
24,2011Q1,559597.0,22748.0,24599832.952347457,-439.0331466495991,-0.0017846997071079868
25,2011Q2,575734.0,23404.0,24599811.997949068,-20.95439838990569,-8.518113224463951e-05
26,2011Q3,580134.0,23583.0,24599669.253275666,-142.74467340111732,-0.0005802707017376243
27,2011Q4,575491.0,19496.0,29518414.03364793,4918744.780372262,16.6633098064327
28,2012Q1,566998.0,19208.0,29518846.314035818,432.28038788959384,0.0014644216894210064
29,2012Q2,585475.0,19834.0,29518755.672078248,-90.64195756986737,-0.0003070656452351936
30,2012Q3,558722.0,18928.0,29518279.79712595,-475.8749522976577,-0.0016121364644832432
31,2012Q4,574113.0,19449.0,29518895.573037174,615.7759112231433,0.0020860398035541633
32,2013Q1,602688.0,20417.0,29518930.303178724,34.730141550302505,0.00011765379434011068
33,2013Q2,576095.0,19517.0,29517600.040989906,-1330.2621888183057,-0.004506674617756945
34,2013Q3,567050.0,19210.0,29518479.958355024,879.9173651188612,0.002980903374293858
35,2013Q4,568831.0,19270.0,29518993.253762323,513.2954072989523,0.0017388648823026193
36,2014Q1,558945.0,18935.0,29519144.44151043,151.18774810805917,0.0005121684620894901
37,2014Q2,567325.0,19219.0,29518965.606951453,-178.8345589786768,-0.0006058293551335107
38,2014Q3,585033.0,19819.0,29518795.09561532,-170.51133613288403,-0.000577636504405329
39,2014Q4,576139.0,19518.0,29518342.043242134,-453.0523731857538,-0.0015348164626660483
40,2015Q1,521715.0,17674.0,29518784.655426048,442.6121839135885,0.0014994254983063098
41,2015Q2,379483.0,12856.0,29517968.263845675,-816.3915803730488,-0.0027657444884951147
42,2015Q3,360603.0,12216.0,29518909.626719058,941.3628733828664,0.0031890164145182086
43,2015Q4,394685.0,13371.0,29517986.68760751,-922.9391115494072,-0.003126700751365551
44,2016Q1,473088.0,16027.0,29518188.057652712,201.37004520371556,0.0006821897225209579
45,2016Q2,645564.0,21870.0,29518244.17009602,56.112443309277296,0.0001900941092089854
46,2016Q3,685562.0,23225.0,29518277.717976317,33.54788029566407,0.00011365121168717025
47,2016Q4,697199.0,23625.0,29511068.783068784,-7208.934907533228,-0.024427901817196025
48,2017Q1,854942.0,28970.0,29511287.538833275,218.7557644918561,0.0007412613367139609
49,2017Q2,1111012.0,26453.0,41999470.75946017,12488183.220626898,29.734144251839165
50,2017Q3,1151786.0,27424.0,41999197.78296383,-272.9764963462949,-0.0006499564533516461
51,2017Q4,1209768.0,28805.0,41998541.91980559,-655.8631582409143,-0.001561633162154193
52,2018Q1,1284024.0,30573.0,41998626.23883819,84.31903260201216,0.00020076616821346937
53,2018Q2,1366065.0,32526.0,41999169.894853346,543.6560151576996,0.0012944446676416816
54,2018Q3,1396921.0,25399.0,54999055.0809087,12999885.186055355,23.636560968059033
55,2018Q4,1296312.0,23570.0,54998387.78107764,-667.2998310625553,-0.0012133079858972554
56,2019Q1,1284348.0,23352.0,54999486.1253854,1098.3443077653646,0.00199700830888021
57,2019Q2,1371731.0,24954.0,54970385.50933718,-29100.61604822427,-0.052938715598567686
58,2019Q3,1373043.0,22521.0,60967230.58478753,5996845.075450353,9.836177595619176
59,2019Q4,1336448.0,21928.0,60947099.59868661,-20130.986100919545,-0.03303026105175538
60,2020Q1,1349416.0,22141.0,60946479.38214173,-620.216544881463,-0.001017641299660036
61,2020Q2,1387285.0,22744.0,60995647.203658104,49167.82151637226,0.08060873811569871
62,2020Q3,1457043.0,23916.0,60923356.74862017,-72290.45503793657,-0.11865803018080394
63,2020Q4,1582409.0,25974.0,60922807.422807425,-549.3258127421141,-0.0009016751459429054
64,2021Q1,1816875.0,29823.0,60921939.442712,-867.980095423758,-0.0014247414041044506
65,2021Q2,2309450.0,37908.0,60922496.57064472,557.1279327198863,0.0009144863787285046
66,2021Q3,2417190.0,39676.0,60923228.14799879,731.5773540660739,0.001200818433798152
67,2021Q4,2420286.0,38235.0,63300274.61749706,2377046.4694982693,3.755191401399104
